label=GoogleLES build_tabular end-to-end
samples=13451 sample_rate=0.05
format=flat sortedby=count mincount=5

    Count  Overhead File                                                                                                                        Line Function
    =====  ======== ====                                                                                                                        ==== ========
        8         8 @Zarr/src/metadata.jl                                                                                                       175 Zarr.Metadata(d::Dict{Any, Any}, fill_as_missing::Bool)
        8         0 @DiskArrays/src/indexing.jl                                                                                                 248 need_batch
        8         0 @Base/task.jl                                                                                                               868 task_done_hook(t::Task)
        8         0 @Base/task.jl                                                                                                               361 #wait#582
        8         0 @Base/task.jl                                                                                                               360 wait
        8         0 @Base/task.jl                                                                                                               554 fetch
        8         0 @Base/asyncmap.jl                                                                                                           173 (::Base.var"#maptwice##0#maptwice##1")(x::Task)
        8         0 @Base/asyncmap.jl                                                                                                           173 maptwice(wrapped_f::Function, chnl::Channel{Any}, worker_tasks::Vector{Any}, c::CartesianIndices{4, NTuple{4, UnitRange{Int64}}})
       16         0 @MLCondensateDistributions/utils/GoogleLES.jl                                                                               116 load_zarr_simulation(site_id::Int64, month::Int64, experiment::String)
       16        16 @Base/boot.jl                                                                                                               792 NamedTuple
       16        16 @Zarr/src/ZArray.jl                                                                                                         124 Zarr.ZArray(s::Zarr.GCStore, mode::String, path::String; fill_as_missing::Bool)
       20         0 @Base/path.jl                                                                                                               163 _splitdir_nodrive(a::String, b::String)
       20         0 @Base/methodshow.jl                                                                                                         141 fixup_stdlib_path(path::String)
       24         0 @Base/strings/unicode.jl                                                                                                    640 uppercase
       24         0 @URIs/src/URIs.jl                                                                                                           405 escapeuri
       24         0 none                                                                                                                          ? (::URIs.var"#escapeuri##0#escapeuri##1"{typeof(URIs.issafe)})(c::Char)
       24         0 @Base/strings/io.jl                                                                                                         353 join(io::Base.AnnotatedIOBuffer, iterator::Base.Generator{Base.Generator{Base.CodeUnits{UInt8, String}, URIs.var"#utf8_chars##0#utf8_chars##1"…
       24         0 @Base/strings/io.jl                                                                                                         356 _join_preserve_annotations(::Base.Generator{Base.Generator{Base.CodeUnits{UInt8, String}, URIs.var"#utf8_chars##0#utf8_chars##1"}, URIs.var"#e…
       24         0 @URIs/src/URIs.jl                                                                                                           420 escapeuri(key::String, value::String)
       24         0 none                                                                                                                          ? #escapeuri##4
       24         0 @Base/strings/io.jl                                                                                                         248 print
       24         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                      87 _parse_bool_env(name::String, default::Bool)
       24         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     230 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
       24         0 @Base/strings/io.jl                                                                                                         149 print_to_string(::Float64, ::String)
       24         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     123 _progress_print(prefix::String, current::Int64, total::Int64, label::String, started_at::Float64)
       24         0 @Base/boot.jl                                                                                                               654 Array
       24         0 @Base/boot.jl                                                                                                               662 Array
       24         0 @Base/subarray.jl                                                                                                            67 similar
       24         0 @Base/abstractarray.jl                                                                                                      823 similar
       24         0 @MLCondensateDistributions/utils/coarse_graining.jl                                                                          17 cg_2x2_horizontal(field::SubArray{Float32, 3, Array{Float32, 4}, Tuple{Int64, Base.Slice{Base.OneTo{Int64}}, Base.Slice{Base.OneTo{Int64}}, Ba…
       24         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     296 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
       24         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     122 _progress_print(prefix::String, current::Int64, total::Int64, label::String, started_at::Float64)
       30         0 @Zarr/src/Storage/gcstore.jl                                                                                                 95 cloud_list_objects(s::Zarr.GCStore, p::SubString{String})
       32         0 @Base/path.jl                                                                                                               157 _splitdir_nodrive(a::String, b::String)
       32         0 @Base/file.jl                                                                                                               238 mkpath(path::String; mode::UInt16)
       32         0 @Base/file.jl                                                                                                               237 mkpath
       32         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     212 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
       32        32 @Base/namedtuple.jl                                                                                                         271 merge_names(an::Tuple{Vararg{Symbol}}, bn::Tuple{Vararg{Symbol}})
       32         0 @Base/namedtuple.jl                                                                                                         291 merge_fallback(a::NamedTuple, b::NamedTuple, an::Tuple{Vararg{Symbol}}, bn::Tuple{Vararg{Symbol}})
       32         0 @Base/namedtuple.jl                                                                                                         338 merge
       32         0 @Base/namedtuple.jl                                                                                                         346 merge
       32         0 @Base/boot.jl                                                                                                               660 Vector{String}(::UndefInitializer, d::Tuple{Int64})
       32         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     244 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
       32         0 @Base/dict.jl                                                                                                               199 #sizehint!#303
       32         0 @Base/dict.jl                                                                                                               193 sizehint!
       32         0 @Base/dict.jl                                                                                                               101 Dict{Symbol, Any}(::Pair{Symbol, Float32}, ::Vararg{Pair})
       32         0 @Base/boot.jl                                                                                                               663 Array{Nothing, 4}(::UndefInitializer, d::NTuple{4, Int64})
       32         0 @Base/channels.jl                                                                                                            49 Channel
