label=GoogleLES build_tabular end-to-end
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
 =====  ======== ====                                                                                                                        ==== ========
     5         5 @Base/int.jl                                                                                                                 87 +
     5         0 @OpenSSL/src/ssl.jl                                                                                                         443 macro expansion
     5         1 @Base/asyncmap.jl                                                                                                           229 (::Base.var"#start_worker_task!##0#start_worker_task!##1"{Base.var"#938#939"{Zarr.var"#read_items!##0#read_items!##1"{Zarr.GCStore, Channel{Pair{…
     5         0 @Zarr/src/ZArray.jl                                                                                                         172 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange{In…
     5         0 @Zarr/src/ZArray.jl                                                                                                         156 getchunkarray
     5         0 @Base/array.jl                                                                                                              542 fill(v::Float32, dims::NTuple{4, Int64})
     5         0 @Base/array.jl                                                                                                              329 fill!
     5         0 @Base/array.jl                                                                                                              333 _fill!
     5         4 @Base/threadingconstructs.jl                                                                                                518 macro expansion
     5         0 @Base/channels.jl                                                                                                           452 put_unbuffered(c::Channel{Any}, v::Tuple{Base.RefValue{Any}, Tuple{CartesianIndex{4}}})
     5         1 @JSON/src/parse.jl                                                                                                          181 kwcall(::@NamedTuple{dicttype::DataType}, ::typeof(JSON.parse), buf::String)
     6         0 @OpenSSL/src/ssl.jl                                                                                                         447 macro expansion
     6         6 @OpenSSL/src/OpenSSL.jl                                                                                                    3099 clear_errors!
     7         1 @Base/range.jl                                                                                                              921 iterate
     7         7 @Base/task.jl                                                                                                              1143 try_yieldto(undo::typeof(Base.ensure_rescheduled))
     8         8 @Base/promotion.jl                                                                                                          637 ==
     8         8 @Base/cartesian.jl                                                                                                            ? macro expansion
     8         0 @Base/task.jl                                                                                                              1229 wait()
     8         0 @Zarr/src/ZGroup.jl                                                                                                          52 zopen_noerr(s::Zarr.GCStore, mode::String; consolidated::Bool, path::String, lru::Int64, fill_as_missing::Bool)
     8         0 @Zarr/src/ZArray.jl                                                                                                         120 ZArray
     9         2 @Base/cartesian.jl                                                                                                           66 macro expansion
     9         0 @Base/asyncmap.jl                                                                                                           231 (::Base.var"#start_worker_task!##0#start_worker_task!##1"{Base.var"#938#939"{Zarr.var"#read_items!##0#read_items!##1"{Zarr.GCStore, Channel{Pair{…
    10         0 @Base/asyncmap.jl                                                                                                           157 maptwice(wrapped_f::Function, chnl::Channel{Any}, worker_tasks::Vector{Any}, c::CartesianIndices{4, NTuple{4, UnitRange{Int64}}})
