label=GoogleLES build_tabular end-to-end
samples=13373 sample_rate=0.05
format=flat sortedby=count mincount=5

   Count  Overhead File                                                                                                                        Line Function
   =====  ======== ====                                                                                                                        ==== ========
       8         0 @Base/task.jl                                                                                                               868 task_done_hook(t::Task)
       8         8 @MLCondensateDistributions/utils/build_training_data.jl                                                                     103 _estimate_googleles_case_bytes(ds::Zarr.ZGroup{Zarr.GCStore})
       8         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     228 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h…
       8         0 @Base/task.jl                                                                                                               361 #wait#582
       8         0 @Base/task.jl                                                                                                               360 wait
       8         0 @Base/task.jl                                                                                                               554 fetch
       8         0 @Base/asyncmap.jl                                                                                                           173 (::Base.var"#maptwice##0#maptwice##1")(x::Task)
       8         0 @Base/asyncmap.jl                                                                                                           173 maptwice(wrapped_f::Function, chnl::Channel{Any}, worker_tasks::Vector{Any}, c::CartesianIndices{4, NTuple{4, UnitRange{Int64}}})
      16         0 @MLCondensateDistributions/utils/GoogleLES.jl                                                                               116 load_zarr_simulation(site_id::Int64, month::Int64, experiment::String)
      16        16 @Base/iterators.jl                                                                                                          311 keys
      16         0 @Base/iterators.jl                                                                                                          278 length
      16         0 @Base/logging/ConsoleLogger.jl                                                                                              140 handle_message(logger::Base.CoreLogging.ConsoleLogger, level::Base.CoreLogging.LogLevel, message::Any, _module::Any, group::Any, id::Any, f…
      16        16 @JSON/src/parse.jl                                                                                                          325 make(st::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Any}, x::JSON.LazyValue{String})
      16         0 @Base/boot.jl                                                                                                               660 Vector{Nothing}(::UndefInitializer, d::Tuple{Int64})
      16         0 @Base/array.jl                                                                                                              377 similar(a::Vector{Base.RefValue{Any}}, T::Type, dims::Tuple{Int64})
