label=process_abstract_chunk repeated kernel
samples=354 sample_rate=0.05
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
 =====  ======== ====                                                                                                                        ==== ========
    16        16 @Base/boot.jl                                                                                                               499 Box
    16         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      195 DataFrames.DataFrame(columns::Vector{Any}, colindex::DataFrames.Index; copycols::Bool)
    24         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         155 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    24         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         163 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    32         0 @Base/boot.jl                                                                                                               670 Array
    32         0 @Base/array.jl                                                                                                              158 vect
    32         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         213 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    48         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         158 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    56        56 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         249 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    72         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         161 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    72         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         167 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
    80         0 @Base/boot.jl                                                                                                               647 Array
   112         0 @Base/boot.jl                                                                                                               660 Array
   128        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         152 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   128         0 @Base/array.jl                                                                                                              405 getindex
   144         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      312 #DataFrame#220
   144         0 @DataFrames/src/dataframe/dataframe.jl                                                                                      310 DataFrame
   144         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         355 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   144        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         211 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   160       160 @Base/dict.jl                                                                                                                80 Dict
   192       192 @Base/boot.jl                                                                                                               648 Array
   208        64 @DataFrames/src/dataframe/dataframe.jl                                                                                      196 DataFrames.DataFrame(columns::Vector{Any}, colindex::DataFrames.Index; copycols::Bool)
   224         0 @DataFrames/src/other/index.jl                                                                                               32 Index
   224         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         133 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
   928         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         217 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  1456         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         221 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  1488         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         228 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  1728         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         230 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  1744         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         231 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  1776         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         244 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  2072         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         237 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  2256         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         245 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  2352         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         236 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  2760         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         223 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  4424         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         220 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  4816         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         227 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  5480         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         233 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  5552         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         240 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  5960         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         247 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  6448         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         238 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  6840         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         225 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  8848         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         235 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  8984         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         219 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  9096         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         218 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  9136         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         232 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  9352         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         242 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
  9800         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         229 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 12712         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         222 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 14496         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         226 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 14512         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         216 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16416        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         168 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16416        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         160 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16432         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         165 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16536        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         150 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16552         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         164 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16560        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         151 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 16576         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         153 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 18456         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         224 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 22120         0 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         241 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 32800        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         159 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 32824        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         156 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 32848        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         170 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 49232        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         147 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
 49256        32 @MLCondensateDistributions/utils/dataset_builder.jl                                                                         154 process_abstract_chunk(fine_fields::Dict{String, AbstractArray{Float32, 3}}, metadata::Dict{Symbol, Any}, spatial_info::Dict{Symbol, Any})
195592         0 @Base/array.jl                                                                                                              377 similar
195592         0 @Base/abstractarray.jl                                                                                                      823 similar
195592         0 @MLCondensateDistributions/utils/coarse_graining.jl                                                                          17 cg_2x2_horizontal(field::Array{Float32, 3})
312608         0 @Base/abstractarray.jl                                                                                                      867 similar
312608         0 @Base/abstractarray.jl                                                                                                      866 similar
312608         0 @Base/broadcast.jl                                                                                                          228 similar
312608         0 @Base/broadcast.jl                                                                                                          227 similar
312608         0 @Base/broadcast.jl                                                                                                          919 copy
312608         0 @Base/broadcast.jl                                                                                                          894 materialize(bc::Base.Broadcast.Broadcasted{Base.Broadcast.DefaultArrayStyle{3}, Nothing, typeof(*), Tuple{Array{Float32, 3}, Array{Float32, 3}}})
501896         0 @Base/boot.jl                                                                                                               604 new_as_memoryref
501976    501976 @Base/boot.jl                                                                                                               588 GenericMemory
508088      6192 @Base/boot.jl                                                                                                               654 Array
508088         0 @Base/boot.jl                                                                                                               662 Array
509008         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   229 (::var"#_profile_chunk_kernel##0#_profile_chunk_kernel##1")()
509008         0 @Profile/src/Allocs.jl                                                                                                       82 macro expansion
509008         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   236 (::var"#_profile_chunk_kernel##2#_profile_chunk_kernel##3"{var"#_profile_chunk_kernel##0#_profile_chunk_kernel##1"})()
509008         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   133 _print_alloc_profile(label::String, f::var"#_profile_chunk_kernel##2#_profile_chunk_kernel##3"{var"#_profile_chunk_kernel##0#_profile_chunk_kernel…
509008         0 /home/jbenjami/Research_Schneider/CliMA/MLCondensateDistributions/experiments/amip_baseline/profile_googleles_pipeline.jl   178 _profile_chunk_kernel()
509008         0 @Base/boot.jl                                                                                                               489 eval(m::Module, e::Any)
509008         0 @Base/loading.jl                                                                                                           2870 include_string(mapexpr::typeof(identity), mod::Module, code::String, filename::String)
509008         0 @Base/loading.jl                                                                                                           2930 _include(mapexpr::Function, mod::Module, _path::String)
509008         0 @Base/Base.jl                                                                                                               307 include(mapexpr::Function, mod::Module, _path::String)
509008         0 @Base/Base.jl                                                                                                               308 (::Base.IncludeInto)(fname::String)
509008         0 @Base/client.jl                                                                                                             283 exec_options(opts::Base.JLOptions)
509008         0 @Base/client.jl                                                                                                             550 _start()
Total snapshots: 354
Total bytes: 509008
